"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";119.95;359.85;719.70;1439.40;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";156.21;468.63;937.26;1874.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";131.95;395.85;791.70;1583.40;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";171.83;515.49;1030.98;2061.96;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";129.92;389.76;779.52;1559.04;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";169.21;507.63;1015.26;2030.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";142.91;428.73;857.46;1714.92;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";1;5924.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";186.13;558.39;1116.78;2233.56;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";126.26;378.78;757.56;1515.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";164.43;493.29;986.58;1973.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";138.89;416.67;833.34;1666.68;;
