"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";110.68;332.04;664.08;1328.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";148.44;445.32;890.64;1781.28;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Female";"Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";121.75;365.25;730.50;1461.00;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Female";"Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";163.28;489.84;979.68;1959.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Male";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";120.65;361.95;723.90;1447.80;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Male";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";161.55;484.65;969.30;1938.60;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Male";"Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";132.72;398.16;796.32;1592.64;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";1;4615.00;"Male";"Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";177.71;533.13;1066.26;2132.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";127.28;381.84;763.68;1527.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";170.71;512.13;1024.26;2048.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Female";"Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";140.01;420.03;840.06;1680.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Female";"Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";187.78;563.34;1126.68;2253.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Male";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";138.75;416.25;832.50;1665.00;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Male";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";185.78;557.34;1114.68;2229.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Male";"Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";152.63;457.89;915.78;1831.56;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WI_BASE";"WI";2;4616.00;"Male";"Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";204.36;613.08;1226.16;2452.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WIR_PTB";"WI";1;4615.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";10.14;30.42;60.84;121.68;;
"Aetna Life Insurance Company";"Aetna";60054.00;"WIR_PTB";"WI";1;4615.00;"Female";"Non-Tobacco";;8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";10.14;30.42;60.84;121.68;;
