"ZIP LOOKUP CODE";"STATE";"COUNTY";"CITY";"ZIP-3";"ZIP-5"
71;"MI";"GENESEE";"ATLAS";"484";"48411"
71;"MI";"GENESEE";"BURTON";"485";"48509"
71;"MI";"GENESEE";"BURTON";"485";"48519"
71;"MI";"GENESEE";"BURTON";"485";"48529"
71;"MI";"GENESEE";"CLIO";"484";"48420"
71;"MI";"GENESEE";"DAVISON";"484";"48423"
71;"MI";"GENESEE";"FENTON";"484";"48430"
71;"MI";"GENESEE";"FLINT";"485";"48501"
71;"MI";"GENESEE";"FLINT";"485";"48502"
71;"MI";"GENESEE";"FLINT";"485";"48503"
71;"MI";"GENESEE";"FLINT";"485";"48504"
71;"MI";"GENESEE";"FLINT";"485";"48505"
71;"MI";"GENESEE";"FLINT";"485";"48506"
71;"MI";"GENESEE";"FLINT";"485";"48507"
71;"MI";"GENESEE";"FLINT";"485";"48531"
71;"MI";"GENESEE";"FLINT";"485";"48532"
71;"MI";"GENESEE";"FLINT";"485";"48550"
71;"MI";"GENESEE";"FLINT";"485";"48551"
71;"MI";"GENESEE";"FLINT";"485";"48552"
71;"MI";"GENESEE";"FLINT";"485";"48553"
71;"MI";"GENESEE";"FLINT";"485";"48554"
71;"MI";"GENESEE";"FLINT";"485";"48555"
71;"MI";"GENESEE";"FLINT";"485";"48556"
71;"MI";"GENESEE";"FLINT";"485";"48557"
71;"MI";"GENESEE";"FLUSHING";"484";"48433"
71;"MI";"GENESEE";"GAINES";"484";"48436"
71;"MI";"GENESEE";"GENESEE";"484";"48437"
71;"MI";"GENESEE";"GOODRICH";"484";"48438"
71;"MI";"GENESEE";"GRAND BLANC";"484";"48439"
71;"MI";"GENESEE";"GRAND BLANC";"484";"48480"
71;"MI";"GENESEE";"LINDEN";"484";"48451"
71;"MI";"GENESEE";"MONTROSE";"484";"48457"
71;"MI";"GENESEE";"MOUNT MORRIS";"484";"48458"
71;"MI";"GENESEE";"OTISVILLE";"484";"48463"
71;"MI";"GENESEE";"SWARTZ CREEK";"484";"48473"
71;"MI";"HURON";"BAD AXE";"484";"48413"
71;"MI";"HURON";"FILION";"484";"48432"
71;"MI";"HURON";"HARBOR BEACH";"484";"48441"
71;"MI";"HURON";"KINDE";"484";"48445"
71;"MI";"HURON";"PORT AUSTIN";"484";"48467"
71;"MI";"HURON";"PORT HOPE";"484";"48468"
71;"MI";"HURON";"RUTH";"484";"48470"
71;"MI";"HURON";"UBLY";"484";"48475"
71;"MI";"LAPEER";"ALMONT";"480";"48003"
71;"MI";"LAPEER";"ATTICA";"484";"48412"
71;"MI";"LAPEER";"COLUMBIAVILLE";"484";"48421"
71;"MI";"LAPEER";"DRYDEN";"484";"48428"
71;"MI";"LAPEER";"HADLEY";"484";"48440"
71;"MI";"LAPEER";"IMLAY CITY";"484";"48444"
71;"MI";"LAPEER";"LAPEER";"484";"48446"
71;"MI";"LAPEER";"METAMORA";"484";"48455"
71;"MI";"LAPEER";"NORTH BRANCH";"484";"48461"
71;"MI";"LAPEER";"OTTER LAKE";"484";"48464"
71;"MI";"LIVINGSTON";"BRIGHTON";"481";"48114"
71;"MI";"LIVINGSTON";"BRIGHTON";"481";"48116"
71;"MI";"LIVINGSTON";"GREGORY";"481";"48137"
71;"MI";"LIVINGSTON";"HAMBURG";"481";"48139"
71;"MI";"LIVINGSTON";"HARTLAND";"483";"48353"
71;"MI";"LIVINGSTON";"LAKELAND";"481";"48143"
71;"MI";"LIVINGSTON";"PINCKNEY";"481";"48169"
71;"MI";"MACOMB";"ARMADA";"480";"48005"
71;"MI";"MACOMB";"CENTER LINE";"480";"48015"
71;"MI";"MACOMB";"CLINTON TOWNSHIP";"480";"48035"
71;"MI";"MACOMB";"CLINTON TOWNSHIP";"480";"48036"
71;"MI";"MACOMB";"CLINTON TOWNSHIP";"480";"48038"
71;"MI";"MACOMB";"EASTPOINTE";"480";"48021"
71;"MI";"MACOMB";"FRASER";"480";"48026"
71;"MI";"MACOMB";"HARRISON TOWNSHIP";"480";"48045"
71;"MI";"MACOMB";"MACOMB";"480";"48042"
71;"MI";"MACOMB";"MACOMB";"480";"48044"
71;"MI";"MACOMB";"MOUNT CLEMENS";"480";"48043"
71;"MI";"MACOMB";"MOUNT CLEMENS";"480";"48046"
71;"MI";"MACOMB";"NEW BALTIMORE";"480";"48047"
71;"MI";"MACOMB";"NEW BALTIMORE";"480";"48051"
71;"MI";"MACOMB";"NEW HAVEN";"480";"48048"
71;"MI";"MACOMB";"NEW HAVEN";"480";"48050"
71;"MI";"MACOMB";"RAY";"480";"48096"
71;"MI";"MACOMB";"RICHMOND";"480";"48062"
71;"MI";"MACOMB";"ROMEO";"480";"48065"
71;"MI";"MACOMB";"ROSEVILLE";"480";"48066"
71;"MI";"MACOMB";"SAINT CLAIR SHORES";"480";"48080"
71;"MI";"MACOMB";"SAINT CLAIR SHORES";"480";"48081"
71;"MI";"MACOMB";"SAINT CLAIR SHORES";"480";"48082"
71;"MI";"MACOMB";"STERLING HEIGHTS";"483";"48310"
71;"MI";"MACOMB";"STERLING HEIGHTS";"483";"48311"
71;"MI";"MACOMB";"STERLING HEIGHTS";"483";"48312"
71;"MI";"MACOMB";"STERLING HEIGHTS";"483";"48313"
71;"MI";"MACOMB";"STERLING HEIGHTS";"483";"48314"
71;"MI";"MACOMB";"UTICA";"483";"48315"
71;"MI";"MACOMB";"UTICA";"483";"48316"
71;"MI";"MACOMB";"UTICA";"483";"48317"
71;"MI";"MACOMB";"UTICA";"483";"48318"
71;"MI";"MACOMB";"WARREN";"480";"48088"
71;"MI";"MACOMB";"WARREN";"480";"48089"
71;"MI";"MACOMB";"WARREN";"480";"48090"
71;"MI";"MACOMB";"WARREN";"480";"48091"
71;"MI";"MACOMB";"WARREN";"480";"48092"
71;"MI";"MACOMB";"WARREN";"480";"48093"
71;"MI";"MACOMB";"WARREN";"483";"48397"
71;"MI";"MACOMB";"WASHINGTON";"480";"48094"
71;"MI";"MACOMB";"WASHINGTON";"480";"48095"
71;"MI";"MONROE";"AZALIA";"481";"48110"
